,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301080524,2024-05-08
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301080524,2024-05-08
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301080524,2024-05-08
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301080524,2024-05-08
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301080524,2024-05-08
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301080524,2024-05-08
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301080524,2024-05-08
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301080524,2024-05-08
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301080524,2024-05-08
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301080524,2024-05-08
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301080524,2024-05-08
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301080524,2024-05-08
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301080524,2024-05-08
16,Вода для промывки линий доставки,ООО «Гротекс»,380423,2026-03-01 00:00:00,"91-93, СТ-07843",S16301080524,2024-05-08
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301090524,2024-05-09
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301090524,2024-05-09
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301090524,2024-05-09
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301090524,2024-05-09
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301090524,2024-05-09
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301090524,2024-05-09
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301090524,2024-05-09
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301090524,2024-05-09
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301090524,2024-05-09
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301090524,2024-05-09
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301090524,2024-05-09
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301090524,2024-05-09
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301090524,2024-05-09
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301090524,2024-05-09
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301090524,2024-05-09
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301090524,2024-05-09
16,Вода для промывки линий доставки,ООО «Гротекс»,380423,2026-03-01 00:00:00,"91-93, СТ-07843",S16301090524,2024-05-09
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301130524,2024-05-13
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301130524,2024-05-13
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301130524,2024-05-13
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301130524,2024-05-13
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301130524,2024-05-13
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301130524,2024-05-13
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301130524,2024-05-13
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301130524,2024-05-13
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301130524,2024-05-13
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301130524,2024-05-13
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301130524,2024-05-13
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301130524,2024-05-13
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301130524,2024-05-13
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301130524,2024-05-13
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301130524,2024-05-13
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301130524,2024-05-13
16,Вода для промывки линий доставки,ООО «Гротекс»,380423,2026-03-01 00:00:00,"91-93, СТ-07843",S16301130524,2024-05-13
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301150524,2024-05-15
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301150524,2024-05-15
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301150524,2024-05-15
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301150524,2024-05-15
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301150524,2024-05-15
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301150524,2024-05-15
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301150524,2024-05-15
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301150524,2024-05-15
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301150524,2024-05-15
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301150524,2024-05-15
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301150524,2024-05-15
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301150524,2024-05-15
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301150524,2024-05-15
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301150524,2024-05-15
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301150524,2024-05-15
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301150524,2024-05-15
16,Вода для промывки линий доставки,ООО «Гротекс»,380423,2026-03-01 00:00:00,"91-93, СТ-07843",S16301150524,2024-05-15
0,Дозирующий набор Clio,Comecer,FD01230,2027-12-01 00:00:00,CT-06293,S16301160524,2024-05-16
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220601,2024-06-01 00:00:00,СТ-01776,S16301160524,2024-05-16
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301160524,2024-05-16
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384,               СТ-06385, СТ-06386, СТ-06387",S16301160524,2024-05-16
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301160524,2024-05-16
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301160524,2024-05-16
6,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301160524,2024-05-16
7,Стерильный шприц NORM-JECT,ABX,22M07C8,2027-11-01 00:00:00,–,S16301160524,2024-05-16
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301160524,2024-05-16
9,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301160524,2024-05-16
10,Картридж QMA,ABX,013532209B,2027-09-30 00:00:00,–,S16301160524,2024-05-16
11,Картридж SCX,ABX,M220129M01,2027-02-28 00:00:00,–,S16301160524,2024-05-16
12,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301160524,2024-05-16
13,Натрия хлорид,BBraun,30520523,2026-04-01 00:00:00,"94, CТ-07844",S16301160524,2024-05-16
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301160524,2024-05-16
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K002,2026-03-01 00:00:00,–,S16301160524,2024-05-16
